Address Line 1,Address Line 2,Area Manager,Breakfast,Cakes,City,Concept,Core Menu,Country,DMA Code,DMA Name,District Code,District Name,Drive-thru,Escalation 1,Escalation 2,Franchisee Email,Franchisee Name,Franchisee Phone,Last Modernization Date,Open Date,Region Code,Region Name,Store Email,Store Name,Store Number,Store Phone,Temp Closed,Venue Type,ZIP
"AV. 27 DE FEBRERO S/N ESQ. AV. HEROICO COLEGIO MILITAR, COL ATASTA. C.P. 86100",,,N,Y,Villahermosa,Dairy Queen Treat,DQ Soft Serve,Mexico,2000,INTERNATIONAL ADI,MX11,Adsur S.A. de C.V.,Y,selenef@hdgmx.com,,andrei@hdgmx.com,Adsur S.A. de C.V.,0115215554052949,2001-07-16,2001-07-16,MEX,Mexico,dq27@hdgmx.com,27 DE FEBRERO,40989,0119933523724,N,Free-Standing,86100
"PLAZA CRYSTAL LOCAL INT. 1, QUINTIN ARAUZ ESQ. H. COLEGIO MILITAR S/N, COL. 1ro DE MAYO",,,N,Y,Villahermosa,Dairy Queen Treat,DQ Soft Serve,Mexico,2000,INTERNATIONAL ADI,MX11,Adsur S.A. de C.V.,N,selenef@hdgmx.com,,andrei@hdgmx.com,Adsur S.A. de C.V.,0115215554052949,2001-09-01,2001-09-01,MEX,Mexico,dqcrystal@hdgmx.com,PLAZA KRISTAL,41003,0119933523852,N,Mall - Kiosk,86190
"Av. Guadalupe No. 1162 Local 5 Col. Jardines de San Ignacio, Zapopan",,jorge.serrano@dequ.mx,N,Y,Guadalajara,Dairy Queen Treat,DQ LTD,Mexico,2000,INTERNATIONAL ADI,MX06,Dequ,N,,javasmm@yahoo.com.mx,santiago.ochoa@dequ.mx,Dequ S A De C V,0115213316996768,2002-02-16,2002-02-16,MEX,Mexico,dqchapalita@gmail.com,CHAPALITA,41041,31230048,N,Strip Center,45040
"EUROPLAZA LOCAL 43, AV. RUIZ CORTINES Y PERIFERICO S/N COL. CARRIZAL",,,N,Y,Villahermosa,Dairy Queen Treat,DQ Soft Serve,Mexico,2000,INTERNATIONAL ADI,MX11,Adsur S.A. de C.V.,Y,selenef@hdgmx.com,,andrei@hdgmx.com,Adsur S.A. de C.V.,0115215554052949,2002-03-20,2002-03-20,MEX,Mexico,dqeuroplaza@hdgmx.com,EUROPLAZA,41049,0119933546106,N,Free-Standing,86038
"Centro Comercial Cimaco 4 Caminos (dentro del area de comida) Blvd Independencia 1300 Ote, Colonia Navarro",,kimberlymaldonado@dqtorreon.com.mx,N,N,Torreon,Dairy Queen Treat,DQ Soft Serve,Mexico,2000,INTERNATIONAL ADI,MX04,Deiri King,N,,b_l_h@hotmail.com,fvillalobosfajardo@hotmail.com,Deiri King S A De C V,0115218711319533,2023-08-31,2002-06-27,MEX,Mexico,dqcimaco@grupoarlosa.net,CIMACO 4 CAMINOS,41074,,N,Mall - Food Court,27010
Perf. Ortíz Mena y Antonio de Montes Local B-2   COL. UNIDAD PRESIDENTES,,,N,N,Chihuahua,Dairy Queen Treat,DQ Soft Serve,Mexico,2000,INTERNATIONAL ADI,MX05,Delinort,N,,dqdianaparedes@gmail.com,carloslegarreta@dqchih.com,Delinort S A De C V,011526142351303,2002-06-24,2002-06-24,MEX,Mexico,dairyqueenplazagalerias@gmail.com,GALERIAS,41075,0116142351303,N,Mall - Food Court,31210
Ave Mirador Esquina #3907,Av. Mirador #3907 Fracc. Sicomoros,,N,Y,Chihuahua,Dairy Queen Treat,DQ Soft Serve,Mexico,2000,INTERNATIONAL ADI,MX05,Delinort,Y,,dqdianaparedes@gmail.com,carloslegarreta@dqchih.com,Delinort S A De C V,011526142351303,2002-08-26,2002-08-26,MEX,Mexico,dqmiralbero@gmail.com,MIRADOR,41082,0116142351303,N,Free-Standing,31205
"Av. Vallarta No.3959 Int. M 13 Col. Don Bosco Vallarta (La Gran Plaza), Zapopan",,jorge.serrano@dequ.mx,N,Y,Guadalajara,Dairy Queen Treat,DQ LTD,Mexico,2000,INTERNATIONAL ADI,MX06,Dequ,N,,javasmm@yahoo.com.mx,santiago.ochoa@dequ.mx,Dequ S A De C V,0115213316996768,2002-07-25,2002-07-25,MEX,Mexico,dqgranplaza@gmail.com,GRAN PLAZA,41155,36210982,N,Mall - Food Court,45049
Miguel Aleman Norte #126 Esq. Hidalgo y Allende Col. Centro,,lpadilla@ggef.mx,N,Y,CD Obregon,Dairy Queen Treat,DQ Soft Serve,Mexico,2000,INTERNATIONAL ADI,MX03,DAQU DE,Y,ilopez@ggef.mx,mvarela@ggef.mx,bsantos@ggef.mx,Daqu De Sonora S A De Cv,0115216622566334,,2002-08-23,MEX,Mexico,icota@ggef.mx,MIGUEL ALEMAN,41162,011526622566334,N,Free-Standing,85000
Luis Encinas y Reforma 160 col. San Benito,,mmariscal@GGEF.MX,N,Y,Hermosillo,Dairy Queen Treat,DQ Soft Serve,Mexico,2000,INTERNATIONAL ADI,MX03,DAQU DE,Y,ilopez@ggef.mx,mvarela@ggef.mx,bsantos@ggef.mx,Daqu De Sonora S A De Cv,0115216622566334,,2002-09-20,MEX,Mexico,acanizales@ggef.mx,CINEPOLIS,41163,011526622566334,N,Free-Standing,83190
"Blvd. Independencia, #1001-A ote. Col. Granjas San Isidro",,kimberlymaldonado@dqtorreon.com.mx,N,Y,Torreon,Dairy Queen Treat,DQ Soft Serve,Mexico,2000,INTERNATIONAL ADI,MX04,Deiri King,Y,,b_l_h@hotmail.com,fvillalobosfajardo@hotmail.com,Deiri King S A De C V,0115218711319533,2002-10-30,2002-10-30,MEX,Mexico,dqindep@dqtorreon.com.mx,INDEPENDENCIA,41182,,N,Free-Standing,27100
"Galerias Torreon Store - Periférico Raúl López Sánchez #600, Local 211-B, Colonia El Fresno",,kimberlymaldonado@dqtorreon.com.mx,N,Y,Torreon,Dairy Queen Treat,DQ Soft Serve,Mexico,2000,INTERNATIONAL ADI,MX04,Deiri King,N,,b_l_h@hotmail.com,fvillalobosfajardo@hotmail.com,Deiri King S A De C V,0115218711319533,2023-08-31,2002-11-20,MEX,Mexico,dqgalerias@dqtorreon.com.mx,GALERIAS LAGUNA,41188,,N,Mall - Food Court,27018
"Av. El Dorado #1309, Entre Blvd. Sinaloa y Blvd. Xicotencal Col. Quintas",,lizbethluna278@gmail.com,N,Y,Culiacan,Dairy Queen Treat,DQ Soft Serve,Mexico,2000,INTERNATIONAL ADI,MX01,Alimentos Selectos,Y,heronernestos@gmail.com,,direcciondq@gmail.com,Alimentos Selectos Congelados S A De C V,0115216677517193,,2003-03-24,MEX,Mexico,Dairyqueenquintas@gmail.com,LAS QUINTAS,41190,,N,Free-Standing,80060
Perif. de la Juventud y Politecnico Nacional Local 249 Fracc. Puerta de Hierro The New Plaza Del Sol Mall,,,N,N,Chihuahua,Dairy Queen Treat,DQ Soft Serve,Mexico,2000,INTERNATIONAL ADI,MX05,Delinort,N,,dqdianaparedes@gmail.com,carloslegarreta@dqchih.com,Delinort S A De C V,011526142351303,2002-12-16,2002-12-16,MEX,Mexico,arturo.raynal@gmail.com,FASHION MALL,41192,0116142351303,N,Mall - In-line,31207
Zaragoza 912 Esq Aldama,"Av. Ignacio Zaragoza No. 912 esq. Aldama, Maria de la Piedad Col. Centro Coatzacoalcos",calbores@hdgmx.com,N,Y,Coatzacoalcos,Dairy Queen Treat,DQ Soft Serve,Mexico,2000,INTERNATIONAL ADI,MX11,Adsur S.A. de C.V.,Y,selenef@hdgmx.com,,andrei@hdgmx.com,Adsur S.A. de C.V.,0115215554052949,2002-12-26,2002-12-26,MEX,Mexico,dqcoatza@hdgmx.com,CENTRO,41209,0119212127906,N,Strip Center,96400
"PLAZA LAS AMERICAS LOCAL E #9, AV.UNIVERSIDAD S/N ESQ. RAMON MENDOZA, COL.TIERRA COLORADA",,,N,Y,Villahermosa,Dairy Queen Treat,DQ Soft Serve,Mexico,2000,INTERNATIONAL ADI,MX11,Adsur S.A. de C.V.,N,selenef@hdgmx.com,,andrei@hdgmx.com,Adsur S.A. de C.V.,0115215554052949,2002-11-12,2002-11-12,MEX,Mexico,dqamericas@hdgmx.com,LAS AMERICAS,41212,0119933572932,N,Mall - Food Court,86029
"PLAZA SAN LUIS, LOCAL 3 AV. PERIFÉRICO CARLOS PELLICER CÁMARA NO. 431 COL. TAMULTE C.P. 86150",,,N,Y,Villahermosa,Dairy Queen Treat,DQ Soft Serve,Mexico,2000,INTERNATIONAL ADI,MX11,Adsur S.A. de C.V.,N,selenef@hdgmx.com,,andrei@hdgmx.com,Adsur S.A. de C.V.,0115215554052949,2003-03-26,2003-03-26,MEX,Mexico,dqsanluis@hdgmx.com,SAN LUIS,41252,0119933519340,N,Mall - In-line,86150
"Justo Sierra esquina con Miguel Negrete 564, Col. Nueva",,blizarraga@ggef.mx,N,Y,Mexicali,Dairy Queen Treat,DQ LTD,Mexico,2000,INTERNATIONAL ADI,MX03,DAQU DE,Y,ccastellanos@ggef.mx,mvarela@ggef.mx,bsantos@ggef.mx,Daqu De Sonora S A De Cv,0115216622566334,,2003-08-04,MEX,Mexico,masanchez@ggef.mx,JUSTO SIERRA,41280,011526622566334,N,Free-Standing,21100
"Blvd Lazaro cardenas s/n Esq San jose de villa Nova, Fracc. Villa Nova",,blizarraga@ggef.mx,N,Y,Mexicali,Dairy Queen Treat,DQ LTD,Mexico,2000,INTERNATIONAL ADI,MX03,DAQU DE,Y,ccastellanos@ggef.mx,mvarela@ggef.mx,bsantos@ggef.mx,Daqu De Sonora S A De Cv,0115216622566334,,2003-08-15,MEX,Mexico,fjaramillo@ggef.mx,VILLANOVA,41281,011526622566334,N,Free-Standing,21307
"Batallón de San Patricio #1000-7 LC1, Col. Residencial San Agustín",,Joanacalzada@leva.mx,N,Y,Monterrey,Dairy Queen Treat,DQ LTD,Mexico,2000,INTERNATIONAL ADI,MX13,Leva Negocios,N,refugio@leva.mx,,raul@leva.mx,"Leva Negocios & Franquicias, S.A. De C.V.",0115218115421515,2003-08-30,2003-08-30,MEX,Mexico,dqpfsa@gmail.com,PLAZA FIESTA SAN AGUSTÍN,41283,83639159,N,Mall - Food Court,66260
Av. Arboledas #2500 Local F-3 Col. Rinconada de la Arboleda (Plaza Arboledas),,rodrigo.martinez@dequ.mx,N,N,Guadalajara,Dairy Queen Treat,DQ LTD,Mexico,2000,INTERNATIONAL ADI,MX06,Dequ,N,,javasmm@yahoo.com.mx,santiago.ochoa@dequ.mx,Dequ S A De C V,0115213316996768,2003-09-15,2003-09-15,MEX,Mexico,dqarboledas@gmail.com,ARBOLEDAS,41320,38127992,N,Mall - In-line,44570
"CENTRO COMERCIAL PLAZA REAL LOCAL No. 43, AV. CONCORDIA S/N ASA PONIENTE CD. DEL CARMEN CAMPECHE",,,N,Y,Ciudad Del Carmen,Dairy Queen Treat,DQ Soft Serve,Mexico,2000,INTERNATIONAL ADI,MX11,Adsur S.A. de C.V.,N,selenef@hdgmx.com,,andrei@hdgmx.com,Adsur S.A. de C.V.,0115215554052949,2003-08-13,2003-08-13,MEX,Mexico,dqcarmen@hdgmx.com,PLAZA REAL,41331,0119383814196,N,Mall - Food Court,24154
"Av. Providencia No.2910 Col. Providencia, Zapopan",,daniel.balandran@dequ.mx,N,Y,Guadalajara,Dairy Queen Treat,DQ LTD,Mexico,2000,INTERNATIONAL ADI,MX06,Dequ,Y,,javasmm@yahoo.com.mx,santiago.ochoa@dequ.mx,Dequ S A De C V,0115213316996768,2003-12-27,2003-12-27,MEX,Mexico,dqprovidencia@gmail.com,PROVIDENCIA,41339,36406144,N,Free-Standing,44630
"Av. Patria No.860 Col. Jardines Tepeyac, Zapopan",,daniel.balandran@dequ.mx,N,Y,Guadalajara,Dairy Queen Treat,DQ LTD,Mexico,2000,INTERNATIONAL ADI,MX06,Dequ,Y,,javasmm@yahoo.com.mx,santiago.ochoa@dequ.mx,Dequ S A De C V,0115213316996768,2004-02-21,2004-02-21,MEX,Mexico,dqcordilleras@gmail.com,CORDILLERAS,41357,36202532,N,Free-Standing,45030
"Av. Eugenio Garza Sada # 4321 PAD-1 (entre Sendero Sur y Revolución Sur), col. Contry",,Mauriciom@leva.mx,N,Y,Monterrey,Dairy Queen Treat,DQ Soft Serve,Mexico,2000,INTERNATIONAL ADI,MX13,Leva Negocios,Y,refugio@leva.mx,,raul@leva.mx,"Leva Negocios & Franquicias, S.A. De C.V.",0115218115421515,2003-12-31,2003-12-31,MEX,Mexico,dqcontry@gmail.com,CONTRY,41375,01183490541,N,Free-Standing,64780
CIUDADES HERMANAS 1435-B PTE. Entre Álvaro Obregon y Domingo Rubí. COL. GUADALUPE,,lizbethluna278@gmail.com,N,Y,Culiacan,Dairy Queen Treat,DQ Soft Serve,Mexico,2000,INTERNATIONAL ADI,MX01,Alimentos Selectos,Y,heronernestos@gmail.com,,direcciondq@gmail.com,Alimentos Selectos Congelados S A De C V,0115216677517193,,2004-02-29,MEX,Mexico,dqciudadeshermanas24@gmail.com,CIUDADES HERMANAS,41384,,N,Free-Standing,80220
"Guerrero 1057 Local 1, Centro Comercial Plaza Goya entre Michoacan y Quinitana Roo. Col. Comuripa",,lpadilla@ggef.mx,N,Y,CD Obregon,Dairy Queen Treat,DQ Soft Serve,Mexico,2000,INTERNATIONAL ADI,MX03,DAQU DE,N,ilopez@ggef.mx,mvarela@ggef.mx,bsantos@ggef.mx,Daqu De Sonora S A De Cv,0115216622566334,,2004-06-30,MEX,Mexico,acastro@ggef.mx,PLAZA GOYA,41419,011526622566334,N,Strip Center,85140
"Blvd. Benito Juárez #1600, esquina con Molino del Rey, entre calle 1 y calle 2, Col. Insurgentes Oeste.",,blizarraga@ggef.mx,N,Y,Mexicali,Dairy Queen Treat,DQ LTD,Mexico,2000,INTERNATIONAL ADI,MX03,DAQU DE,Y,ccastellanos@ggef.mx,mvarela@ggef.mx,bsantos@ggef.mx,Daqu De Sonora S A De Cv,0115216622566334,,2004-08-14,MEX,Mexico,ksanchez@ggef.mx,BENITO JUAREZ,41447,011526622566334,N,Free-Standing,21280
"AV. JUSTO SIERRA S/N ENTRE LISBAO NORTE Y MONTEVIDEO, COL. NUEVA MINATITLAN, MINATITLAN VERACRUZ C.P. 96760",,calbores@hdgmx.com,N,Y,Minatitlan,Dairy Queen Treat,DQ Soft Serve,Mexico,2000,INTERNATIONAL ADI,MX11,Adsur S.A. de C.V.,Y,selenef@hdgmx.com,,andrei@hdgmx.com,Adsur S.A. de C.V.,0115215554052949,2004-08-04,2004-08-04,MEX,Mexico,dqmina@hdgmx.com,MINATITLAN,41451,0119222257259,N,Free-Standing,96760
"Av Sendero divisorio Norte # 1001 PAD-2, Col. Cerradas de Anáhuac",,Christian.lopez@leva.mx,N,Y,Monterrey,Dairy Queen Treat,DQ Soft Serve,Mexico,2000,INTERNATIONAL ADI,MX13,Leva Negocios,Y,refugio@leva.mx,,raul@leva.mx,"Leva Negocios & Franquicias, S.A. De C.V.",0115218115421515,2004-06-15,2004-06-15,MEX,Mexico,dqsendero@gmail.com,SENDERO (Plaza Bella Escobedo),41453,82120965,N,Free-Standing,66410
C. Catalpa #1301 Local 15 Col. Granjas,,,N,Y,Chihuahua,Dairy Queen Treat,DQ Soft Serve,Mexico,2000,INTERNATIONAL ADI,MX05,Delinort,Y,,dqdianaparedes@gmail.com,carloslegarreta@dqchih.com,Delinort S A De C V,011526142351303,2005-01-24,2005-01-24,MEX,Mexico,abelardo.loya.dairyqueen@gmail.com,PLAZA VALLARTA,41530,0116142351303,N,Free-Standing,31160
Plaza ley sahuaro en el interior local 8F col. Sahuaro,,lramos@ggef.mx,N,Y,Hermosillo,Dairy Queen Treat,DQ Soft Serve,Mexico,2000,INTERNATIONAL ADI,MX03,DAQU DE,N,ilopez@ggef.mx,mvarela@ggef.mx,bsantos@ggef.mx,Daqu De Sonora S A De Cv,0115216622566334,,2005-05-06,MEX,Mexico,dmena@ggef.mx,PLAZA SAHUARO,41543,011526622566334,N,Mall - In-line,83170
PROLONGACION TEOFILO NORIS 1421-B esquina con blvd. Sánchez Alonso. COL. TIERRA BLANCA,,lizbethluna278@gmail.com,N,Y,Culiacan,Dairy Queen Treat,DQ Soft Serve,Mexico,2000,INTERNATIONAL ADI,MX01,Alimentos Selectos,Y,heronernestos@gmail.com,,direcciondq@gmail.com,Alimentos Selectos Congelados S A De C V,0115216677517193,,2005-05-18,MEX,Mexico,tresriosdq@gmail.com,TRES RIOS,41550,,N,Free-Standing,80030
5100 Miguel Hidalgo Avenue Lomas de Rosales,,areli@grupokuale.com.mx,N,Y,Tampico,Dairy Queen Treat,DQ LTD,Mexico,2000,INTERNATIONAL ADI,MX09,Helados Mafis,Y,marco@grupokuale.com.mx,manuelr@grupokuale.com.mx,gda@grupokuale.com.mx,Helados Mafis S A De C V,0115218331102412,2023-07-23,2005-07-23,MEX,Mexico,dqtampico@gmail.com,HIDALGO,41558,,N,Free-Standing,89360
Blvd Lazaro Cardenas #2955 int 3 Col. Nuevo Mexicali,,ynunez@ggef.mx,N,Y,Mexicali,Dairy Queen Treat,DQ LTD,Mexico,2000,INTERNATIONAL ADI,MX03,DAQU DE,Y,ccastellanos@ggef.mx,mvarela@ggef.mx,bsantos@ggef.mx,Daqu De Sonora S A De Cv,0115216622566334,,2005-05-23,MEX,Mexico,aespinoza@ggef.mx,NUEVO MEXICALI,41566,011526622566334,N,Free-Standing,21399
CENTRO COMERCIAL PARQUE DELTA LOCAL 121-A AV. CUAHUTEMOC No. 462 COL. NARVARTE DEL. BENITO JUÁREZ,,jcruz@hdgmx.com,N,Y,Mexico City,Dairy Queen Treat,DQ Soft Serve,Mexico,2000,INTERNATIONAL ADI,MX11,Adsur S.A. de C.V.,N,jsantiago@hdgmx.com,,andrei@hdgmx.com,Adsur S.A. de C.V.,0115215554052949,2005-11-17,2005-11-17,MEX,Mexico,dqdelta@hdgmx.com,PARQUE DELTA,41613,0115554402908,N,Mall - In-line,03020
BLVD. PEDRO INFANTE 2898 esquina con blvd. Circuito interior. COL. RECURSOS HIDRAULICOS,,lizbethluna278@gmail.com,N,Y,Culiacan,Dairy Queen Treat,DQ Soft Serve,Mexico,2000,INTERNATIONAL ADI,MX01,Alimentos Selectos,Y,heronernestos@gmail.com,,direcciondq@gmail.com,Alimentos Selectos Congelados S A De C V,0115216677517193,2022-09-01,2006-04-10,MEX,Mexico,alamosdq@gmail.com,LOS ALAMOS,41635,,N,Free-Standing,80100
"Interior de Nogales Mall, Local G16, Blvd. EL Greco 45, Col. El Greco",,aburruel@ggef.mx,N,Y,Nogales,Dairy Queen Treat,DQ LTD,Mexico,2000,INTERNATIONAL ADI,MX03,DAQU DE,N,ilopez@ggef.mx,mvarela@ggef.mx,bsantos@ggef.mx,Daqu De Sonora S A De Cv,0115216622566334,,2006-09-28,MEX,Mexico,bcandelario@ggef.mx,NOGALES MALL,41641,011526622566334,N,Mall - In-line,84066
Carretera Xalapa-Veracruz km 2. No. 680. Col. Pastoresa Plaza Las Américas. Local G-27. Zona Gourmet. Segunda planta.,,alfredocruz@heladosinternacionales.com,N,Y,Xalapa,Dairy Queen Treat,DQ Soft Serve,Mexico,2000,INTERNATIONAL ADI,MX08,Helados Internacionales,N,omarhernandez@heladosinternacionales.com,,juliomarquinez@grupoxalapa.com,Helados Internacionales S A De C V,0115212281048181,2006-08-29,2006-08-29,MEX,Mexico,dqamericas@heladosinternacionales.com,LAS AMERICAS,41644,0112281790046,N,Mall - Kiosk,91190
"Av. Nereo Rodriguez Barragan #450, Col. del Valle, C.P.78200 San Luis",,,N,Y,San Luis Potosi,Dairy Queen Treat,DQ Soft Serve,Mexico,2000,INTERNATIONAL ADI,MX12,Organizacion Rodper,N,,direccion.operativa.dq@madapal.com,alberto.rodriguez@madapal.com,Organizacion Rodper Sa De Cv,0115214441880971,2006-12-11,2006-12-11,MEX,Mexico,dairyqueen@madapal.com,EL DORADO,41871,0114442161358,N,Mall - Kiosk,78200
Periferico Oriente col. Perisur. Interior de plaza sendero Local 6c,,aburruel@ggef.mx,N,Y,Hermosillo,Dairy Queen Treat,DQ Soft Serve,Mexico,2000,INTERNATIONAL ADI,MX03,DAQU DE,N,ilopez@ggef.mx,mvarela@ggef.mx,bsantos@ggef.mx,Daqu De Sonora S A De Cv,0115216622566334,,2006-11-30,MEX,Mexico,mguerra@ggef.mx,PLAZA SENDERO,41891,011526622566334,N,Mall - In-line,83290
"CENTRO COMERCIAL PARQUE LINDAVISTA LOC CA-03 COLECTOR 13 No. 280 COL. MAGDALENA DE LAS SALINAS, DEL. GUSTAVO A MADERO",,jgonzalez@hdgmx.com,N,Y,Mexico City,Dairy Queen Treat,DQ Soft Serve,Mexico,2000,INTERNATIONAL ADI,MX11,Adsur S.A. de C.V.,N,jsantiago@hdgmx.com,,andrei@hdgmx.com,Adsur S.A. de C.V.,0115215554052949,2006-12-27,2006-12-27,MEX,Mexico,dqlindavista@hdgmx.com,LINDA VISTA,41903,0115516610893,N,Mall - In-line,07760
Pedro Loyola #612 interior 17B Col. Loma Dorada,Colonia Carlos Pacheco,bflores@ggef.mx,N,Y,Ensenada,Dairy Queen Treat,DQ Soft Serve,Mexico,2000,INTERNATIONAL ADI,MX03,DAQU DE,N,ccastellanos@ggef.mx,mvarela@ggef.mx,bsantos@ggef.mx,Daqu De Sonora S A De Cv,0115216622566334,,2007-03-31,MEX,Mexico,emendoza@ggef.mx,MACRO PLAZA DEL MAR,41932,011526622566334,N,Mall - In-line,22830
Av. Paseo de los Leones #2512. Col. Cumbres 3er sector.  Entre Paseo de los Conquistadores y Pensador CP 64610,,Christian.lopez@leva.mx,N,Y,Monterrey,Dairy Queen Treat,DQ Soft Serve,Mexico,2000,INTERNATIONAL ADI,MX13,Leva Negocios,Y,refugio@leva.mx,,raul@leva.mx,"Leva Negocios & Franquicias, S.A. De C.V.",0115218115421515,2008-07-11,2008-07-11,MEX,Mexico,dqcumbres@leva.mx,CUMBRES,41949,83786251,N,Free-Standing,64610
